"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2224343","Vineet  Nagrath and Fabrice  Meriaudeau and Aamir Saeed Malik and Olivier  Morel","","","","Agent Relation Charts (ARCs) for Modeling Cloud Based Transactions","704--709","","6","Robotic Software, Cloud Robotics, Cloud Computing, Model-Driven Engineering","10.1109/CSNT.2012.156","","","","","","","2012","","Proceedings of the 2012 International Conference on Communication Systems and Network Technologies","CSNT '12","","978-0-7695-4692-6","","IEEE Computer Society","Washington, DC, USA"
"article","1591056","Eric Hsiao-kuang Wu and Yung-Lun  Ding and Chi-Yun  Liu and Yi-Kai  Chiang","","","","A Context Aware Interactive Robot for Broadband Wireless Learning","381--382","","2","robot, learning","10.1109/MDM.2009.62","","","","","","","2009","","Proceedings of the 2009 Tenth International Conference on Mobile Data Management: Systems, Services and Middleware","MDM '09","","978-0-7695-3650-7","","IEEE Computer Society","Washington, DC, USA"
"phdthesis","220678","Douglas N. Greve","","","","","","","","","","","","","","","","1995","","Instrumentation and Control of Miniaturized Active Vision System","","","","","Boston University","Boston, MA, USA"
"article","2556816","Andrew  Drenner and Michael  Janssen and Apostolos  Kottas and Alex  Kossett and Casey  Carlson and Ryan  Lloyd and Nikolaos  Papanikolopoulos","","","","Coordination and Longevity in Multi-Robot Teams Involving Miniature Robots","263--284","","22","Marsupial robots, Robot placement, Robot team control, Robot teams","10.1007/s10846-013-9830-x","J. Intell. Robotics Syst.","November  2013","72","2","","November","2013","0921-0296","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","1718927","Min Kyung  Lee and Sara  Kiesler and Jodi  Forlizzi","","","","Receptionist or Information Kiosk: How Do People Talk with a Robot?","31--40","","10","agent, conversational interface, cooperation, design, dialogue, human-robot interaction, robot, schemas, scripts, social robots, speech interface","10.1145/1718918.1718927","","","","","","","2010","","Proceedings of the 2010 ACM Conference on Computer Supported Cooperative Work","CSCW '10","","978-1-60558-795-0","Savannah, Georgia, USA","ACM","New York, NY, USA"
"article","2447704","Tomotaka  Takahashi","","","","The Creation of a New Robot Era","429--430","","2","human-robot interaction, humanoid robot","","","","","","","","2013","","Proceedings of the 8th ACM/IEEE International Conference on Human-robot Interaction","HRI '13","","978-1-4673-3055-8","Tokyo, Japan","IEEE Press","Piscataway, NJ, USA"
"article","2703529","Keita  Matsuo and Leonard  Barolli","","","","Design and Implementation of an Omnidirectional Wheelchair: Control System and Its Applications","532--535","","4","Omnidirectional Wheelchair, Robotics, Robot Control","10.1109/BWCCA.2014.123","","","","","","","2014","","Proceedings of the 2014 Ninth International Conference on Broadband and Wireless Computing, Communication and Applications","BWCCA '14","","978-1-4799-4173-5","","IEEE Computer Society","Washington, DC, USA"
"article","3038378","Bertram F. Malle and Stuti  Thapa Magar","","","","What Kind of Mind Do I Want in My Robot?: Developing a Measure of Desired Mental Capacities in Social Robots","195--196","","2","human-robot interaction, robot design, robot ethics, social robots","10.1145/3029798.3038378","","","","","","","2017","","Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","HRI '17","","978-1-4503-4885-0","Vienna, Austria","ACM","New York, NY, USA"
"article","1027373","  Journal of parallel and distributed computing staff","","","","Publisher's Note: A Context-sensitive Middleware for Dynamic Integration of Mobile Devices with Network Infrastructures","692--692","","1","","10.1016/j.jpdc.2004.05.002","J. Parallel Distrib. Comput.","June 2004","64","6","","June","2004","0743-7315","","","","","","Academic Press, Inc.","Orlando, FL, USA"
"article","1349839","Ronald C. Arkin","","","","Governing Lethal Behavior: Embedding Ethics in a Hybrid Deliberative/Reactive Robot Architecture","121--128","","8","ethics, robotics","10.1145/1349822.1349839","","","","","","","2008","","Proceedings of the 3rd ACM/IEEE International Conference on Human Robot Interaction","HRI '08","","978-1-60558-017-3","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","1720992","Per Henrik Borgstrom and Brett L. Jordan and Bengt J. Borgstrom and Michael J. Stealey and Gaurav S. Sukhatme and Maxim A. Batalin and William J. Kaiser","","","","NIMS-PL: A Cable-driven Robot with Self-calibration Capabilities","1005--1015","","11","Cable-driven robots, cable-driven robots, calibration and identification, field robots, parallel robots, redundant robots","10.1109/TRO.2009.2024792","Trans. Rob.","October 2009","25","5","","October","2009","1552-3098","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","1452931","Ruben  Mitnik and Miguel  Nussbaum and Alvaro  Soto","","","","An Autonomous Educational Mobile Robot Mediator","367--382","","16","Autonomous robot, Mobile robots, Robot-human interaction, Robots in education","10.1007/s10514-008-9101-z","Auton. Robots","November  2008","25","4","","November","2008","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","2221184","Yaochu  Jin and Yan  Meng","","","","Morphogenetic Robotics: An Emerging New Field in Developmental Robotics","145--160","","16","Developmental robotics, epigenetic robotics, evolutionary developmental robotics, morphogenesis, morphogenetic robotics","10.1109/TSMCC.2010.2057424","Trans. Sys. Man Cyber Part C","March 2011","41","2","","March","2011","1094-6977","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","2447579","J&#252;rgen  Blume and Alexander  Bannat and Gerhard  Rigoll","","","","iProgram: Intuitive Programming of an Industrial Hri Cell","85--86","","2","human robot interaction, robot programming","","","","","","","","2013","","Proceedings of the 8th ACM/IEEE International Conference on Human-robot Interaction","HRI '13","","978-1-4673-3055-8","Tokyo, Japan","IEEE Press","Piscataway, NJ, USA"
"article","1352303","Andrew B. Williams and David S. Touretzky and Ethan J. Tira-Thompson and LaVonne  Manning and Chutima  Boonthum and Clement S. Allen","","","","Introducing an Experimental Cognitive Robotics Curriculum at Historically Black Colleges and Universities","498--502","","5","cognitive robotics, mobile robots, tekkotsu","10.1145/1352322.1352303","SIGCSE Bull.","March 2008","40","1","","March","2008","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1352303","Andrew B. Williams and David S. Touretzky and Ethan J. Tira-Thompson and LaVonne  Manning and Chutima  Boonthum and Clement S. Allen","","","","Introducing an Experimental Cognitive Robotics Curriculum at Historically Black Colleges and Universities","498--502","","5","cognitive robotics, mobile robots, tekkotsu","10.1145/1352135.1352303","","","","","","","2008","","Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '08","","978-1-59593-799-5","Portland, OR, USA","ACM","New York, NY, USA"
"article","1550535","Duckki  Lee and Tatsuya  Yamazaki and Sumi  Helal","","","","Robotic Companions for Smart Space Interactions","78--84","","7","interface robot, robotic companion, robotic companion, robotic interface, interface robot, social robot, smart spaces, robotic interface, smart spaces, social robot","10.1109/MPRV.2009.34","IEEE Pervasive Computing","April 2009","8","2","","April","2009","1536-1268","","","","","","IEEE Educational Activities Department","Piscataway, NJ, USA"
"article","1849577","Grzegorz  Kowalski","","","","Modular Sensor Sets for Stationary or On-robot Use in Proteus System","56--60","","5","Proteus, mobile robot, modules, sensors","10.1109/SENSORCOMM.2010.112","","","","","","","2010","","Proceedings of the 2010 Fourth International Conference on Sensor Technologies and Applications","SENSORCOMM '10","","978-0-7695-4096-2","","IEEE Computer Society","Washington, DC, USA"
"article","1447653","Gregory P. Ball and Kevin  Squire and Craig  Martell and Man-Tak  Shing","","","","MAJIC: A Java Application for Controlling Multiple, Heterogeneous Robotic Agents","189--195","","7","Mobile robots, Robot programming, Robots, Heterogeneous robotic agents","10.1109/RSP.2008.30","","","","","","","2008","","Proceedings of the 2008 The 19th IEEE/IFIP International Symposium on Rapid System Prototyping","RSP '08","","978-0-7695-3180-9","","IEEE Computer Society","Washington, DC, USA"
"phdthesis","238622","David Victor Hume","","","","","","","","","","","","","","","","1995","","Induction of Procedures in Simulated Worlds","","","","","University of New South Wales","New South Wales, Australia, Australia"
"article","2447654","Junichi  Sugiyama and Jun  Miura","","","","A Wearable Visuo-inertial Interface for Humanoid Robot Control","235--236","","2","human robot interaction, humanoid robots","","","","","","","","2013","","Proceedings of the 8th ACM/IEEE International Conference on Human-robot Interaction","HRI '13","","978-1-4673-3055-8","Tokyo, Japan","IEEE Press","Piscataway, NJ, USA"
"book","580551","  IEEE Robotics & Automation Society","  IEEE, Institute of Electrical and Electronics Engineers, Inc. Staff","","","","","","","","","","","","","","","2001","","IEEE/Rsi International Conference on Intelligent Robots and Systems Proceedings","","","0780363485","","IEEE Standards Office","New York, NY, USA"
"article","2559665","Ryo  Murakami and Luis Yoichi  Morales Saiki and Satoru  Satake and Takayuki  Kanda and Hiroshi  Ishiguro","","","","Destination Unknown: Walking Side-by-side Without Knowing the Goal","471--478","","8","human-robot interaction, planning, robotics","10.1145/2559636.2559665","","","","","","","2014","","Proceedings of the 2014 ACM/IEEE International Conference on Human-robot Interaction","HRI '14","","978-1-4503-2658-2","Bielefeld, Germany","ACM","New York, NY, USA"
"article","2560043","Maja  Matari&#263;","","","","Socially Assistive Robotics: Human-robot Interaction Methods for Creating Robots That Care","333--333","","1","assistive robotics","10.1145/2559636.2560043","","","","","","","2014","","Proceedings of the 2014 ACM/IEEE International Conference on Human-robot Interaction","HRI '14","","978-1-4503-2658-2","Bielefeld, Germany","ACM","New York, NY, USA"
"phdthesis","220947","Gerardo  Pardo-Castellote","","","","","","","","","","","","","","","","1995","","Experiments in the Integration and Control of an Intelligent Manufacturing Workcell","","","","","Stanford University","Stanford, CA, USA"
"article","2572500","Jaeeun  Shim and Ronald C. Arkin","","","","A Taxonomy of Robot Deception and Its Benefits in HRI","2328--2335","","8","Robot Deception, Robot Behavior, Human-Robot Interaction, Robot Ethics","10.1109/SMC.2013.398","","","","","","","2013","","Proceedings of the 2013 IEEE International Conference on Systems, Man, and Cybernetics","SMC '13","","978-1-4799-0652-9","","IEEE Computer Society","Washington, DC, USA"
"article","2914069","Nga Lam Or and Xing  Wang and Derek  Pao","","","","MEMORY-Based Hardware Architectures to Detect ClamAV Virus Signatures with Restricted Regular Expression Features","1225--1238","","14","","10.1109/TC.2015.2439274","IEEE Trans. Comput.","April 2016","65","4","","April","2016","0018-9340","","","","","","IEEE Computer Society","Washington, DC, USA"
"article","1349841","Fumitaka  Yamaoka and Takayuki  Kanda and Hiroshi  Ishiguro and Norihiro  Hagita","","","","How Close?: Model of Proximity Control for Information-presenting Robots","137--144","","8","communication robot, human-robot interaction","10.1145/1349822.1349841","","","","","","","2008","","Proceedings of the 3rd ACM/IEEE International Conference on Human Robot Interaction","HRI '08","","978-1-60558-017-3","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"phdthesis","266747","Howard Hai Hwa Wang","","","","","","","","","","","","","","","","1997","","Experiments in Intervention Autonomous Underwater Vehicles","","","","","Stanford University","Stanford, CA, USA"
"article","1069715","Kate  Murphy","","","","Trapped with Robots","10--11","","2","robotics","10.1109/MIS.2005.55","IEEE Intelligent Systems","May 2005","20","3","","May","2005","1541-1672","","","","","","IEEE Educational Activities Department","Piscataway, NJ, USA"
"article","1337892","Yan  Meng and Kerry  Johnson and Brian  Simms and Matthew  Conforth and Charles  Creamer and and Christopher Hawley","","","","SMARbot: A Miniature Mobile Robot Paradigm for Ubiquitous Computing","136--139","","4","","10.1109/IPC.2007.95","","","","","","","2007","","Proceedings of the The 2007 International Conference on Intelligent Pervasive Computing","IPC '07","","0-7695-3006-0","","IEEE Computer Society","Washington, DC, USA"
"article","1109035","S.  Micera and M. C. Carrozza and E.  Guglielmelli and G.  Cappiello and F.  Zaccone and C.  Freschi and R.  Colombo and A.  Mazzone and C.  Delconte and F.  Pisano and G.  Minuco and P.  Dario","","","","A Simple Robotic System for Neurorehabilitation","271--284","","14","biomedical robotics, rehabilitation robotics, stroke","10.1007/s10514-005-4749-0","Auton. Robots","December  2005","19","3","","December","2005","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
